,Request,Appointment,CarType
4708,2022-11-28 10:37,2022-11-30 15:07,compact
4709,2022-10-29 17:16,2022-11-03 07:20,medium
4710,2022-10-17 13:42,2022-11-03 07:03,medium
4711,2022-11-22 14:27,2022-11-25 13:53,class 2 truck
4712,2022-10-13 18:26,2022-11-29 07:20,class 1 truck
4713,2022-10-10 17:57,2022-10-21 07:32,medium
4714,2022-11-19 18:26,2022-11-29 18:30,full-size
4715,2022-11-19 07:46,2022-11-21 08:40,medium
4716,2022-10-06 11:44,2022-11-22 18:23,class 2 truck
4717,2022-11-07 12:35,2022-11-07 12:35,compact
4718,2022-10-22 07:00,2022-10-22 07:00,compact
4719,2022-11-15 08:42,2022-11-16 10:40,medium
4720,2022-09-03 13:54,2022-11-06 07:55,compact
4721,2022-10-15 07:15,2022-10-15 07:15,full-size
4722,2022-11-18 16:40,2022-11-27 18:30,medium
4723,2022-11-02 18:11,2022-11-02 18:11,compact
4724,2022-10-14 07:23,2022-10-17 18:30,medium
4725,2022-11-05 07:47,2022-11-20 07:39,full-size
4726,2022-09-22 18:22,2022-11-10 07:50,medium
4727,2022-11-07 11:52,2022-11-30 16:42,compact
4728,2022-10-15 17:33,2022-10-28 16:12,class 1 truck
4729,2022-10-18 11:27,2022-11-15 18:08,class 1 truck
4730,2022-11-15 13:53,2022-11-15 13:53,full-size
4731,2022-11-08 07:21,2022-11-08 07:21,class 2 truck
4732,2022-10-21 13:30,2022-11-10 07:53,medium
4733,2022-10-20 07:06,2022-11-08 07:06,medium
4734,2022-09-26 07:47,2022-10-06 07:02,class 2 truck
4735,2022-09-04 16:46,2022-11-11 09:35,compact
4736,2022-09-20 07:40,2022-11-28 07:09,class 2 truck
4737,2022-10-05 12:19,2022-10-05 12:19,full-size
4738,2022-09-17 18:30,2022-11-01 18:30,class 2 truck
4739,2022-09-15 13:05,2022-11-02 16:39,full-size
4740,2022-11-17 07:48,2022-11-18 10:55,class 1 truck
4741,2022-11-05 07:00,2022-11-05 07:00,full-size
4742,2022-09-22 18:06,2022-11-07 09:48,full-size
4743,2022-09-23 18:10,2022-11-10 11:15,full-size
4744,2022-11-07 18:30,2022-11-09 17:58,class 2 truck
4745,2022-09-02 08:41,2022-10-12 10:50,class 1 truck
4746,2022-10-21 12:51,2022-11-30 07:57,class 2 truck
4747,2022-10-18 07:07,2022-10-18 07:07,full-size
4748,2022-09-25 07:47,2022-10-03 07:09,class 1 truck
4749,2022-09-06 07:21,2022-11-30 15:00,full-size
4750,2022-11-03 07:08,2022-11-03 07:08,class 2 truck
4751,2022-10-10 18:00,2022-11-29 07:49,full-size
4752,2022-10-14 11:09,2022-11-02 18:23,class 1 truck
4753,2022-10-21 17:11,2022-11-04 07:51,compact
4754,2022-10-23 07:03,2022-11-23 07:02,full-size
4755,2022-10-18 07:01,2022-10-18 07:01,compact
4756,2022-11-22 18:30,2022-11-27 12:00,medium
4757,2022-09-20 10:17,2022-10-12 18:00,class 2 truck
4758,2022-11-16 10:50,2022-11-19 08:09,full-size
4759,2022-11-19 18:30,2022-11-25 10:04,full-size
4760,2022-11-03 17:53,2022-11-03 17:53,compact
4761,2022-11-12 07:45,2022-11-16 07:55,full-size
4762,2022-11-28 15:05,2022-11-30 07:29,compact
4763,2022-10-29 07:25,2022-10-29 07:25,class 1 truck
4764,2022-10-27 18:14,2022-11-09 07:43,class 1 truck
4765,2022-09-26 07:57,2022-10-16 18:04,class 1 truck
4766,2022-09-26 17:04,2022-10-20 07:53,class 1 truck
4767,2022-10-27 13:34,2022-10-27 13:34,medium
4768,2022-11-27 08:31,2022-11-29 18:00,class 2 truck
4769,2022-10-17 08:12,2022-10-20 14:25,full-size
4770,2022-11-09 07:05,2022-11-25 18:08,compact
4771,2022-10-08 18:00,2022-10-08 18:00,full-size
4772,2022-09-28 07:33,2022-10-28 18:30,full-size
4773,2022-09-16 14:15,2022-11-04 10:27,class 2 truck
4774,2022-10-08 08:18,2022-11-14 18:30,full-size
4775,2022-11-27 18:15,2022-11-27 18:15,compact
4776,2022-10-01 07:55,2022-11-10 07:07,class 2 truck
4777,2022-11-01 18:30,2022-11-30 08:58,full-size
4778,2022-09-27 18:30,2022-10-18 07:01,class 1 truck
4779,2022-10-23 18:27,2022-10-23 18:27,compact
4780,2022-09-19 11:29,2022-11-12 07:40,medium
4781,2022-11-01 07:14,2022-11-01 07:14,class 2 truck
4782,2022-10-22 18:10,2022-11-10 18:30,class 2 truck
4783,2022-09-10 07:56,2022-11-10 16:15,full-size
4784,2022-10-06 18:30,2022-11-19 09:13,class 1 truck
4785,2022-10-19 11:28,2022-11-03 16:51,compact
4786,2022-11-08 16:23,2022-11-08 16:23,compact
4787,2022-11-03 15:32,2022-11-27 07:30,class 2 truck
4788,2022-10-13 07:42,2022-10-25 18:00,class 2 truck
4789,2022-10-12 15:19,2022-10-24 18:30,medium
4790,2022-11-30 15:02,2022-11-30 18:17,medium
4791,2022-09-28 14:37,2022-11-02 07:05,full-size
4792,2022-10-27 08:09,2022-10-27 08:09,class 2 truck
4793,2022-11-03 07:18,2022-11-29 09:08,class 1 truck
4794,2022-10-18 13:32,2022-10-18 13:32,full-size
4795,2022-09-22 07:47,2022-11-07 16:09,medium
4796,2022-10-03 18:30,2022-11-14 11:09,medium
4797,2022-11-16 18:30,2022-11-16 18:30,class 2 truck
4798,2022-11-15 18:13,2022-11-27 14:32,class 1 truck
4799,2022-10-25 09:37,2022-10-25 09:37,class 2 truck
4800,2022-11-16 18:30,2022-11-16 18:30,compact
4801,2022-11-01 11:42,2022-11-24 07:48,medium
4802,2022-11-07 16:30,2022-11-07 16:30,class 1 truck
4803,2022-10-22 12:25,2022-11-04 07:44,full-size
4804,2022-09-11 11:13,2022-11-17 07:04,class 1 truck
4805,2022-11-07 18:30,2022-11-29 18:21,compact
4806,2022-10-05 07:28,2022-10-05 07:28,class 1 truck
4807,2022-10-09 18:01,2022-11-11 07:03,medium
4808,2022-10-17 07:45,2022-10-24 07:35,compact
4809,2022-10-14 08:16,2022-10-18 15:39,medium
4810,2022-11-04 12:46,2022-11-04 12:46,medium
4811,2022-10-14 07:03,2022-11-21 07:06,compact
4812,2022-10-17 07:12,2022-10-17 07:12,medium
4813,2022-09-08 17:42,2022-11-29 18:30,class 2 truck
4814,2022-11-18 14:17,2022-11-25 16:24,medium
4815,2022-11-19 07:27,2022-11-26 13:16,class 1 truck
4816,2022-11-02 07:09,2022-11-02 07:09,class 1 truck
4817,2022-11-09 08:30,2022-11-10 10:16,full-size
4818,2022-11-29 15:23,2022-11-29 17:54,class 1 truck
4819,2022-09-16 07:52,2022-11-20 10:13,class 1 truck
4820,2022-10-04 12:47,2022-11-03 07:25,compact
4821,2022-11-25 07:10,2022-11-25 07:10,full-size
4822,2022-11-27 18:30,2022-11-28 07:42,class 1 truck
4823,2022-11-28 16:42,2022-11-29 07:30,class 1 truck
4824,2022-10-17 07:26,2022-10-17 07:26,class 2 truck
4825,2022-11-27 10:54,2022-11-28 16:56,full-size
4826,2022-10-18 18:23,2022-10-18 18:23,class 2 truck
4827,2022-11-22 16:17,2022-11-22 16:17,full-size
4828,2022-11-17 07:50,2022-11-29 18:30,class 1 truck
4829,2022-09-11 07:14,2022-11-20 08:56,class 1 truck
4830,2022-10-09 07:50,2022-10-09 07:50,medium
4831,2022-10-04 13:18,2022-11-25 10:31,class 2 truck
4832,2022-09-21 09:15,2022-10-07 10:22,medium
4833,2022-11-25 18:16,2022-11-26 07:56,class 1 truck
4834,2022-11-26 18:30,2022-11-26 18:30,compact
4835,2022-09-09 18:30,2022-11-02 07:46,medium
4836,2022-11-02 16:21,2022-11-02 16:21,full-size
4837,2022-10-31 18:09,2022-10-31 18:09,compact
4838,2022-11-11 18:30,2022-11-16 18:23,compact
4839,2022-09-13 18:30,2022-10-07 08:16,class 2 truck
4840,2022-09-29 17:57,2022-10-03 11:33,class 2 truck
4841,2022-10-03 17:41,2022-10-22 07:13,class 2 truck
4842,2022-11-24 15:31,2022-11-28 07:24,class 2 truck
4843,2022-11-09 07:12,2022-11-09 07:12,compact
4844,2022-10-25 12:17,2022-11-23 16:42,class 1 truck
4845,2022-09-19 08:57,2022-11-28 18:18,full-size
4846,2022-11-14 15:30,2022-11-24 07:20,full-size
4847,2022-10-18 07:36,2022-10-18 07:36,compact
4848,2022-10-05 07:02,2022-10-05 07:02,full-size
4849,2022-11-22 07:04,2022-11-27 07:24,class 1 truck
4850,2022-09-17 17:54,2022-10-16 18:14,compact
4851,2022-09-14 07:42,2022-10-24 07:37,full-size
4852,2022-09-05 08:03,2022-11-01 07:05,class 2 truck
4853,2022-11-22 13:18,2022-11-23 07:10,class 1 truck
4854,2022-11-26 10:10,2022-11-27 07:47,medium
4855,2022-10-12 16:12,2022-11-23 07:50,full-size
4856,2022-09-22 07:34,2022-10-11 08:41,full-size
4857,2022-10-05 16:56,2022-10-05 16:56,class 1 truck
4858,2022-11-29 14:42,2022-11-29 17:35,class 1 truck
4859,2022-11-01 07:42,2022-11-11 18:30,medium
4860,2022-10-09 07:09,2022-10-09 07:09,class 1 truck
4861,2022-11-05 11:51,2022-11-06 18:09,class 2 truck
4862,2022-09-22 08:05,2022-11-09 07:38,full-size
4863,2022-09-24 18:07,2022-11-08 07:30,full-size
4864,2022-09-25 07:12,2022-10-04 07:57,class 1 truck
4865,2022-09-21 07:15,2022-11-19 18:29,full-size
4866,2022-10-09 07:26,2022-11-30 14:08,compact
4867,2022-09-23 07:22,2022-11-13 07:18,medium
4868,2022-11-10 18:18,2022-11-20 07:40,compact
4869,2022-10-20 18:20,2022-11-07 07:26,class 1 truck
4870,2022-09-28 16:08,2022-10-30 07:55,compact
4871,2022-11-21 11:06,2022-11-24 15:40,full-size
4872,2022-09-08 08:15,2022-10-28 07:42,full-size
4873,2022-10-21 13:46,2022-11-09 18:30,class 2 truck
4874,2022-10-26 15:55,2022-10-26 15:55,class 1 truck
4875,2022-10-12 07:13,2022-11-05 15:30,class 1 truck
4876,2022-09-01 18:30,2022-11-22 18:30,class 2 truck
4877,2022-11-16 07:50,2022-11-30 11:24,class 1 truck
4878,2022-11-09 07:10,2022-11-21 07:23,medium
4879,2022-09-18 18:30,2022-10-30 07:52,compact
4880,2022-10-04 12:19,2022-10-04 12:19,compact
4881,2022-10-05 18:30,2022-11-30 18:01,class 2 truck
4882,2022-09-19 07:50,2022-11-04 14:09,medium
4883,2022-09-04 18:00,2022-10-12 18:22,class 1 truck
4884,2022-11-18 13:34,2022-11-28 10:20,medium
4885,2022-10-21 07:43,2022-10-21 07:43,medium
4886,2022-10-05 07:29,2022-10-05 07:29,compact
4887,2022-11-23 07:42,2022-11-27 07:38,medium
4888,2022-10-02 07:08,2022-10-02 07:08,medium
4889,2022-11-27 11:46,2022-11-29 07:41,medium
4890,2022-09-10 09:55,2022-11-17 08:43,medium
4891,2022-11-29 07:33,2022-11-29 07:33,class 1 truck
4892,2022-11-18 18:30,2022-11-18 18:30,class 2 truck
4893,2022-09-07 07:05,2022-11-17 18:05,compact
4894,2022-09-01 11:41,2022-10-08 16:37,class 1 truck
4895,2022-11-13 11:10,2022-11-27 18:27,medium
4896,2022-10-09 16:13,2022-11-14 11:20,full-size
4897,2022-09-20 07:20,2022-10-04 07:35,medium
4898,2022-11-07 11:40,2022-11-07 14:53,class 1 truck
4899,2022-10-26 15:33,2022-11-16 07:19,full-size
4900,2022-10-11 07:32,2022-11-11 18:30,compact
4901,2022-11-13 08:55,2022-11-21 18:27,compact
4902,2022-11-09 16:27,2022-11-18 07:54,full-size
4903,2022-10-14 16:50,2022-11-14 18:22,compact
4904,2022-09-22 18:30,2022-10-10 08:45,medium
4905,2022-09-11 07:31,2022-11-16 07:04,class 1 truck
4906,2022-11-12 07:08,2022-11-12 07:08,compact
4907,2022-11-15 08:39,2022-11-15 08:39,class 1 truck
4908,2022-11-30 07:12,2022-11-30 17:58,class 2 truck
4909,2022-11-15 09:51,2022-11-24 07:09,class 1 truck
4910,2022-11-17 13:05,2022-11-27 18:30,compact
4911,2022-11-16 07:43,2022-11-23 18:30,compact
4912,2022-09-18 17:43,2022-11-16 07:32,full-size
4913,2022-09-05 07:40,2022-10-22 08:24,medium
4914,2022-11-28 07:22,2022-11-28 07:22,class 1 truck
4915,2022-10-06 18:15,2022-10-17 13:17,full-size
4916,2022-09-25 07:48,2022-11-06 07:51,full-size
4917,2022-10-25 07:32,2022-10-30 07:23,class 1 truck
4918,2022-09-28 11:36,2022-10-05 11:34,class 1 truck
4919,2022-10-08 12:43,2022-10-15 07:39,full-size
4920,2022-09-26 07:57,2022-11-05 07:42,class 1 truck
4921,2022-11-06 07:45,2022-11-30 18:30,full-size
4922,2022-10-17 18:02,2022-11-08 18:05,compact
4923,2022-11-17 11:07,2022-11-21 07:55,class 1 truck
4924,2022-11-03 10:39,2022-11-15 18:30,class 2 truck
4925,2022-11-13 18:16,2022-11-14 11:35,class 2 truck
4926,2022-10-30 07:42,2022-11-20 18:30,compact
4927,2022-11-08 07:39,2022-11-09 07:11,full-size
4928,2022-11-20 07:23,2022-11-27 18:23,full-size
4929,2022-11-02 18:30,2022-11-05 18:30,full-size
4930,2022-09-19 18:08,2022-11-13 18:00,medium
4931,2022-11-30 13:24,2022-11-30 13:24,class 2 truck
4932,2022-10-13 18:02,2022-11-30 07:12,compact
4933,2022-10-22 17:10,2022-11-28 09:37,medium
4934,2022-10-25 10:38,2022-11-23 17:30,medium
4935,2022-10-11 07:23,2022-10-13 16:42,class 1 truck
4936,2022-10-18 07:16,2022-11-03 07:42,class 1 truck
4937,2022-09-16 13:45,2022-10-29 07:04,class 1 truck
4938,2022-10-22 18:30,2022-11-06 18:30,full-size
4939,2022-11-29 10:39,2022-11-30 07:16,compact
4940,2022-09-14 18:30,2022-11-02 18:07,class 1 truck
4941,2022-09-16 07:12,2022-10-23 18:30,medium
4942,2022-10-31 13:36,2022-11-28 07:58,compact
4943,2022-10-12 07:32,2022-11-19 18:30,class 1 truck
4944,2022-10-12 18:13,2022-10-12 18:13,class 1 truck
4945,2022-09-03 07:33,2022-10-08 15:00,class 1 truck
4946,2022-11-05 18:12,2022-11-20 07:06,medium
4947,2022-09-18 07:53,2022-10-30 18:15,compact
4948,2022-09-13 09:59,2022-10-22 18:30,full-size
4949,2022-10-21 07:11,2022-10-28 18:08,full-size
4950,2022-10-25 18:30,2022-11-13 18:30,medium
4951,2022-10-26 18:30,2022-10-26 18:30,class 2 truck
4952,2022-09-28 07:45,2022-11-30 10:06,full-size
4953,2022-11-23 16:07,2022-11-23 16:07,medium
4954,2022-10-07 18:20,2022-11-16 18:30,class 1 truck
4955,2022-09-29 09:24,2022-10-06 18:05,full-size
4956,2022-10-07 18:30,2022-10-07 18:30,full-size
4957,2022-10-29 12:11,2022-11-08 18:30,compact
4958,2022-11-21 18:10,2022-11-22 18:24,class 1 truck
4959,2022-09-07 18:29,2022-11-10 18:30,class 2 truck
4960,2022-09-25 07:48,2022-10-07 07:56,class 2 truck
4961,2022-09-06 07:38,2022-11-22 07:13,medium
4962,2022-10-12 07:46,2022-11-04 07:02,class 1 truck
4963,2022-11-12 18:28,2022-11-17 08:22,class 1 truck
4964,2022-11-24 18:30,2022-11-26 07:13,full-size
4965,2022-09-09 13:24,2022-11-01 11:17,class 2 truck
4966,2022-10-17 12:20,2022-10-17 12:20,medium
4967,2022-11-28 07:04,2022-11-29 18:28,compact
4968,2022-10-23 18:30,2022-10-23 18:30,full-size
4969,2022-09-20 13:32,2022-11-24 18:15,full-size
4970,2022-09-27 18:12,2022-10-01 15:59,class 1 truck
4971,2022-09-03 09:15,2022-10-20 07:18,full-size
4972,2022-10-05 18:12,2022-11-16 12:53,compact
4973,2022-11-08 18:30,2022-11-08 18:30,class 2 truck
4974,2022-11-09 18:16,2022-11-09 18:16,class 2 truck
4975,2022-09-03 07:44,2022-11-14 18:30,class 2 truck
4976,2022-09-29 18:30,2022-11-14 11:33,compact
4977,2022-11-04 07:50,2022-11-09 10:12,class 2 truck
4978,2022-10-30 08:08,2022-11-29 07:13,full-size
4979,2022-11-17 07:07,2022-11-17 13:47,class 1 truck
4980,2022-11-22 07:18,2022-11-22 07:18,medium
4981,2022-09-26 07:15,2022-11-15 09:36,class 1 truck
4982,2022-09-26 07:39,2022-11-17 07:19,medium
4983,2022-09-07 18:23,2022-10-06 10:54,class 1 truck
4984,2022-09-05 07:02,2022-10-21 18:11,full-size
4985,2022-09-22 07:41,2022-11-13 07:47,class 1 truck
4986,2022-10-06 15:32,2022-11-10 07:44,medium
4987,2022-09-05 16:50,2022-11-06 18:18,compact
4988,2022-09-23 07:31,2022-11-14 18:10,medium
4989,2022-11-21 15:01,2022-11-24 12:00,full-size
4990,2022-09-02 09:19,2022-10-14 07:24,compact
4991,2022-11-12 13:33,2022-11-12 18:30,full-size
4992,2022-11-20 13:19,2022-11-27 07:56,medium
4993,2022-11-21 07:01,2022-11-29 07:55,full-size
4994,2022-11-21 18:30,2022-11-25 08:22,compact
4995,2022-10-13 16:49,2022-10-13 16:49,medium
4996,2022-09-02 18:14,2022-11-24 07:12,class 1 truck
4997,2022-11-14 07:05,2022-11-26 15:10,full-size
4998,2022-09-25 18:30,2022-11-05 07:51,compact
4999,2022-09-25 18:15,2022-10-22 07:50,full-size
5000,2022-09-25 07:07,2022-10-13 07:43,class 1 truck
5001,2022-11-25 10:19,2022-11-29 07:03,full-size
5002,2022-09-30 18:30,2022-10-11 18:19,full-size
5003,2022-10-20 15:22,2022-10-25 16:42,class 2 truck
5004,2022-10-12 18:30,2022-11-29 09:42,class 2 truck
5005,2022-11-19 09:19,2022-11-19 09:19,medium
5006,2022-10-27 07:44,2022-11-30 07:25,class 1 truck
5007,2022-11-20 07:57,2022-11-26 07:34,class 2 truck
5008,2022-10-07 14:29,2022-11-02 18:30,class 1 truck
5009,2022-10-09 10:46,2022-11-14 07:04,full-size
5010,2022-10-10 09:42,2022-10-10 09:42,medium
5011,2022-10-21 18:30,2022-11-16 07:52,full-size
5012,2022-09-09 18:22,2022-10-17 07:15,full-size
5013,2022-10-28 17:27,2022-10-31 11:37,full-size
5014,2022-10-01 18:14,2022-10-01 18:14,full-size
5015,2022-10-07 10:21,2022-10-15 12:13,compact
5016,2022-10-10 09:54,2022-10-24 18:30,class 2 truck
5017,2022-10-19 18:14,2022-10-19 18:14,compact
5018,2022-10-31 07:56,2022-11-20 10:16,class 1 truck
5019,2022-11-28 07:30,2022-11-29 07:49,compact
5020,2022-10-29 07:21,2022-10-29 07:21,compact
5021,2022-11-06 18:17,2022-11-20 18:30,compact
5022,2022-09-04 07:06,2022-11-18 07:21,full-size
5023,2022-11-21 16:04,2022-11-29 13:33,medium
5024,2022-09-18 18:30,2022-11-08 07:27,class 2 truck
5025,2022-10-02 12:58,2022-10-02 12:58,compact
5026,2022-10-21 08:23,2022-11-22 07:51,full-size
5027,2022-10-12 18:18,2022-10-24 17:23,class 1 truck
5028,2022-10-30 07:46,2022-11-08 18:30,class 1 truck
5029,2022-10-19 17:53,2022-11-18 15:10,medium
5030,2022-10-26 08:44,2022-10-30 07:14,class 2 truck
5031,2022-11-12 07:02,2022-11-28 07:12,class 1 truck
5032,2022-09-29 07:25,2022-11-12 09:27,medium
5033,2022-09-20 07:21,2022-10-16 18:04,medium
5034,2022-10-16 16:55,2022-11-29 18:30,class 1 truck
5035,2022-09-10 07:35,2022-10-27 07:33,full-size
5036,2022-10-30 18:08,2022-11-28 07:29,class 1 truck
5037,2022-10-06 07:43,2022-10-06 07:43,medium
5038,2022-10-09 07:55,2022-11-27 18:25,class 2 truck
5039,2022-11-19 07:59,2022-11-23 07:52,medium
5040,2022-09-01 18:14,2022-11-17 15:12,full-size
5041,2022-10-17 16:01,2022-10-25 07:07,compact
5042,2022-10-28 13:03,2022-10-28 13:03,full-size
5043,2022-11-18 17:36,2022-11-18 17:36,medium
5044,2022-10-14 18:08,2022-10-14 18:08,full-size
5045,2022-11-27 07:55,2022-11-29 09:05,compact
5046,2022-09-14 17:55,2022-11-21 07:32,full-size
5047,2022-09-13 10:33,2022-10-14 07:00,full-size
5048,2022-11-30 13:31,2022-11-30 17:00,compact
5049,2022-09-28 07:15,2022-11-15 13:00,medium
5050,2022-09-29 18:30,2022-10-12 11:04,class 2 truck
5051,2022-10-16 12:49,2022-10-16 12:49,full-size
5052,2022-10-25 07:33,2022-10-30 07:11,class 1 truck
5053,2022-10-28 07:26,2022-10-28 07:26,full-size
5054,2022-11-23 14:50,2022-11-23 14:50,full-size
5055,2022-09-13 18:25,2022-11-20 07:48,compact
5056,2022-10-11 07:25,2022-10-26 13:07,compact
5057,2022-11-14 18:30,2022-11-14 18:30,compact
5058,2022-09-30 07:26,2022-10-26 18:07,class 1 truck
5059,2022-09-19 18:30,2022-10-03 07:58,medium
5060,2022-09-09 09:16,2022-11-21 18:30,full-size
5061,2022-09-12 07:14,2022-10-15 13:01,class 1 truck
5062,2022-11-21 18:22,2022-11-29 12:45,full-size
5063,2022-09-08 07:06,2022-11-20 07:18,class 1 truck
5064,2022-11-11 18:30,2022-11-14 12:30,class 2 truck
5065,2022-10-03 18:30,2022-11-11 09:13,medium
5066,2022-10-01 07:10,2022-11-25 08:13,class 1 truck
5067,2022-11-02 07:22,2022-11-02 07:22,compact
5068,2022-09-29 07:34,2022-10-04 07:40,class 2 truck
5069,2022-11-22 07:40,2022-11-24 16:06,full-size
5070,2022-10-16 18:30,2022-10-16 18:30,medium
5071,2022-11-08 09:17,2022-11-23 18:30,compact
5072,2022-11-23 17:44,2022-11-23 17:44,class 1 truck
5073,2022-09-11 15:36,2022-10-27 07:45,medium
5074,2022-10-16 18:30,2022-10-16 18:30,full-size
5075,2022-09-06 07:48,2022-10-27 09:21,class 1 truck
5076,2022-10-06 18:30,2022-10-06 18:30,class 1 truck
5077,2022-11-05 18:30,2022-11-08 16:20,class 2 truck
5078,2022-10-31 18:30,2022-11-09 07:31,class 2 truck
5079,2022-09-08 16:18,2022-10-05 15:01,class 1 truck
5080,2022-11-04 18:19,2022-11-21 18:12,class 1 truck
5081,2022-09-13 07:57,2022-10-19 09:06,medium
5082,2022-09-08 18:06,2022-10-13 07:07,class 2 truck
5083,2022-11-17 17:38,2022-11-17 17:38,medium
5084,2022-11-12 08:46,2022-11-24 18:06,class 1 truck
5085,2022-11-27 10:03,2022-11-28 07:31,compact
5086,2022-10-11 07:40,2022-10-11 07:40,full-size
5087,2022-09-30 07:47,2022-11-03 18:30,medium
5088,2022-10-13 18:30,2022-11-26 09:00,full-size
5089,2022-09-15 07:29,2022-11-13 09:33,full-size
5090,2022-11-01 07:57,2022-11-13 10:45,class 2 truck
5091,2022-10-25 07:04,2022-10-27 16:03,compact
5092,2022-10-30 07:50,2022-11-27 18:25,class 2 truck
5093,2022-11-19 18:14,2022-11-25 08:16,class 2 truck
5094,2022-09-07 07:47,2022-10-28 07:18,class 2 truck
5095,2022-10-28 16:52,2022-10-28 16:52,full-size
5096,2022-09-25 07:29,2022-10-25 07:02,medium
5097,2022-10-21 07:56,2022-10-21 07:56,class 2 truck
5098,2022-10-15 11:08,2022-10-30 18:16,medium
5099,2022-09-20 15:54,2022-10-18 07:36,compact
5100,2022-10-07 12:06,2022-11-15 18:30,class 2 truck
5101,2022-11-29 07:13,2022-11-30 13:23,medium
5102,2022-11-20 12:22,2022-11-23 18:18,medium
5103,2022-09-07 07:34,2022-10-20 16:23,medium
5104,2022-09-26 18:30,2022-11-24 18:30,full-size
5105,2022-11-04 07:56,2022-11-05 17:15,medium
5106,2022-09-11 07:49,2022-10-16 07:25,class 1 truck
5107,2022-11-15 07:48,2022-11-15 07:48,medium
5108,2022-09-18 13:42,2022-11-18 12:45,class 1 truck
5109,2022-09-16 07:49,2022-11-21 07:44,full-size
5110,2022-10-10 18:30,2022-11-09 12:54,class 1 truck
5111,2022-11-01 15:18,2022-11-30 07:32,full-size
5112,2022-10-12 07:56,2022-10-14 07:41,compact
5113,2022-10-28 08:14,2022-11-15 07:03,class 2 truck
5114,2022-10-15 07:29,2022-11-16 15:27,class 2 truck
5115,2022-10-24 11:04,2022-11-30 07:27,compact
5116,2022-11-22 07:27,2022-11-29 18:30,full-size
5117,2022-09-17 07:46,2022-10-06 07:40,medium
5118,2022-10-07 18:30,2022-11-28 16:15,compact
5119,2022-10-22 07:28,2022-11-19 10:13,compact
5120,2022-09-10 18:19,2022-11-13 07:21,class 2 truck
5121,2022-11-06 07:19,2022-11-11 18:30,class 1 truck
5122,2022-09-13 08:22,2022-11-20 18:30,compact
5123,2022-09-28 18:14,2022-11-03 07:00,compact
5124,2022-09-25 16:22,2022-10-26 18:20,compact
5125,2022-11-24 18:24,2022-11-27 18:30,full-size
5126,2022-10-19 18:30,2022-10-19 18:30,class 1 truck
5127,2022-11-16 18:23,2022-11-16 18:23,full-size
5128,2022-10-19 07:41,2022-10-19 07:41,full-size
5129,2022-11-26 07:53,2022-11-29 11:00,compact
5130,2022-10-22 16:50,2022-10-22 16:50,compact
5131,2022-09-23 18:09,2022-10-10 18:23,class 2 truck
5132,2022-11-02 07:23,2022-11-26 07:53,class 2 truck
5133,2022-11-13 18:30,2022-11-13 18:30,medium
5134,2022-09-18 07:21,2022-11-23 17:45,class 1 truck
5135,2022-10-10 18:30,2022-11-23 14:12,class 1 truck
5136,2022-11-21 18:20,2022-11-21 18:20,medium
5137,2022-09-19 14:45,2022-11-17 07:49,medium
5138,2022-10-21 07:44,2022-11-16 07:18,full-size
5139,2022-10-08 07:06,2022-10-08 07:06,class 2 truck
5140,2022-10-11 14:21,2022-10-14 07:37,class 1 truck
5141,2022-10-21 07:50,2022-11-25 07:42,medium
5142,2022-10-17 13:19,2022-11-27 16:45,full-size
5143,2022-11-14 07:30,2022-11-21 11:33,full-size
5144,2022-09-19 07:49,2022-10-22 09:32,class 1 truck
5145,2022-11-10 12:09,2022-11-21 08:56,class 1 truck
5146,2022-11-16 07:02,2022-11-25 18:24,class 2 truck
5147,2022-09-06 18:30,2022-10-09 16:34,full-size
5148,2022-10-29 18:30,2022-11-11 07:12,class 1 truck
5149,2022-10-06 09:36,2022-11-12 09:07,class 1 truck
5150,2022-11-17 08:38,2022-11-17 08:38,class 2 truck
5151,2022-10-06 08:21,2022-11-25 12:41,full-size
5152,2022-09-23 18:30,2022-10-05 17:02,compact
5153,2022-09-26 18:03,2022-11-19 16:34,class 2 truck
5154,2022-11-19 07:34,2022-11-27 18:30,full-size
5155,2022-11-09 07:44,2022-11-09 07:44,class 2 truck
5156,2022-09-21 08:57,2022-10-19 07:42,compact
5157,2022-10-06 14:36,2022-10-12 07:35,class 1 truck
5158,2022-10-26 16:29,2022-11-09 18:30,class 1 truck
5159,2022-09-11 18:30,2022-11-23 18:30,full-size
5160,2022-09-02 07:51,2022-10-13 07:55,class 1 truck
5161,2022-09-09 07:37,2022-10-15 07:27,class 1 truck
5162,2022-11-27 18:30,2022-11-27 18:30,compact
5163,2022-11-10 07:19,2022-11-13 18:30,class 1 truck
5164,2022-10-27 13:11,2022-11-03 13:42,medium
5165,2022-09-29 18:30,2022-11-08 18:20,class 1 truck
5166,2022-10-09 07:55,2022-10-09 07:55,class 1 truck
5167,2022-10-23 11:28,2022-11-23 07:50,class 1 truck
5168,2022-11-19 18:08,2022-11-24 18:22,class 1 truck
5169,2022-11-24 16:20,2022-11-24 16:20,compact
5170,2022-11-02 18:07,2022-11-15 16:29,class 2 truck
5171,2022-10-13 18:24,2022-11-22 09:34,compact
5172,2022-09-03 18:30,2022-11-01 07:17,class 2 truck
5173,2022-10-20 18:19,2022-11-16 07:54,full-size
5174,2022-09-06 18:16,2022-10-13 09:02,class 1 truck
5175,2022-09-03 18:30,2022-10-06 07:13,class 1 truck
